Neuron ID,Genotype,AP amplitude (mV),AP max rise (mV/ms),AP max decay (mV/ms),AHP latency (ms),ISIavg (s),AP SD peak (mV/ms2) [normalized]
2023_03_15_Cell2,WT,49.353998,46.121109,-28.213343,33.525002,1.4126545714285714,22.19
2023_03_16_Cell1,WT,63.710302,95.216259,-35.26514,51.625,0.45,115.97
2023_03_16_Cell2,WT,65.617502,102.064706,-43.596663,33.474998,0.489,133.51
2023_03_16_Cell5,WT,53.051099,54.730751,-31.987254,30.525002,1.748,53.6
2023_03_16_Cell6,WT,70.165701,127.32926,-48.958346,17.974998,0.814,233.57
2023_03_21_Cell1,WT,44.417899,56.603502,-31.157279,16.224998,0.501,73.545
2023_03_21_Cell2,WT,63.183799,91.675706,-47.254708,17.325001,0.555,118.415
2023_03_21_Cell3,WT,70.525199,162.20808,-62.152177,12.775002,0.4847,315.765
2023_03_21_Cell4,WT,52.9291,70.79199,-37.299138,12.924999,0.387,88.415
2023_03_21_Cell5,WT,65.591499,160.353124,-64.76099,10.674999,1.2821,394.2
2023_03_21_Cell6,WT,74.330702,142.631739,-54.372821,14.125,2.244,267.87
2023_03_22_Cell1,WT,70.833601,129.954979,-52.795846,16.325001,0.632,117.84
2023_03_22_Cell2,WT,53.0666,71.772352,-33.588514,18.825001,0.6441,113.02
2023_03_22_Cell3,WT,50.571401,60.812201,-31.303082,20.724998,0.5279,65.5
2023_03_22_Cell4,WT,55.78709,80.363229,-37.254553,29.924999,0.4057,81.68
2023_03_27_Cell5,WT,67.760602,108.940929,-47.859307,24.325001,0.9521,135.13
2023_03_29_Cell1,WT,70.479199,112.978883,-35.919547,40.474998,0.4804,161.78
2023_04_12_Cell3,WT,60.718402,85.729837,-39.867017,66.474998,0.6481,112.26
2023_04_12_Cell4,WT,62.179498,124.218747,-55.065837,47.824997,0.5719,233.163
2023_04_13_Cell1,WT,81.307799,180.281177,-56.678884,27.724998,0.7558,335.175
2023_04_13_Cell3,WT,62.162198,98.832741,-39.370604,40.375,0.573,118.17
2023_04_13_Cell4,WT,60.7423,107.295625,-49.997244,16.275002,0.5411,159.47
2023_04_17_Cell2,WT,68.729401,106.101051,-37.70072,22.325001,0.9199,144.15
2023_04_17_Cell3,WT,64.792402,95.996276,-40.721826,23.474998,0.6043,92.02
2023_04_18_Cell1,WT,70.812099,136.028066,-50.251972,39.474998,0.4652,268.4
2023_04_18_Cell2,WT,61.766002,98.586515,-52.074213,31.924999,0.544,148.36
2023_04_18_Cell3,WT,73.259003,133.647144,-58.678892,12.825001,0.8222,266.97
2023_04_19_Cell1,WT,73.294699,161.06385,-62.598571,22.674999,0.5636,279.48
2023_04_19_Cell2,WT,75.714402,137.333259,-51.724806,38.275002,1.2888,255.2
2023_04_19_Cell3,WT,73.676698,150.250167,-59.696969,16.924999,0.6365,249.3
2023_04_20_Cell1,WT,72.814502,101.214126,-42.252235,27.875,0.5548,110.57
2023_04_20_Cell2,WT,77.9116,149.62329,-50.902821,22.525002,0.9079,279.1
2023_04_20_Cell3,WT,73.691502,121.923059,-42.689051,20.724998,0.7114,213.04
2023_04_24_Cell1,WT,70.1387,119.482562,-41.858837,22.875,0.8183,165.39
2023_04_24_Cell2,WT,54.3047,63.911177,-28.728139,27.275002,0.9736,60.71
2023_04_12_Cell5,WT,65.5597,109.635137,-49.562845,17.575001,0.5343,153.434
2023_03_30_Cell1,WT,70.720896,112.772942,-41.025255,19.125,1.4126545714285714,219.85
2023_03_30_Cell4,WT,62.27064021568627,94.33482214379084,-42.0369601503268,39.45179733986928,0.459,137.91585526315788
2024_02_06_Cell1,WT,53.305,61.548948,-31.990066,109.125,1.141,58.809
2024_02_06_Cell2,WT,67.707904,118.698284,-50.466757,13.674999,0.833,192.945
2024_02_06_Cell3,WT,75.323902,170.764089,-64.356193,38.625,1.4126545714285714,257.91
2024_02_06_Cell4,WT,63.354202,111.440852,-43.652106,141.625,0.756,137.91585526315788
2024_02_06_Cell5,WT,63.076496,123.936079,-64.048573,23.075001,0.548,183.864
2024_02_13_Cell1,WT,63.413501,81.138104,-42.103048,34.724998,1.4126545714285714,110.083
2024_02_13_Cell2,WT,57.6807,80.141969,-40.962026,66.675003,0.665,92.911
2024_02_13_Cell3,WT,66.869602,108.797707,-46.398919,31.174999,0.516,183.135
2024_02_13_Cell4,WT,61.810501,128.565371,-50.262757,12.674999,1.674,291.865
2024_02_13_Cell5,WT,65.742098,89.654565,-35.208534,24.375,1.605,128.479
2024_02_13_Cell6,WT,77.1055,167.846769,-62.278572,50.125,0.58,315.935
2024_02_13_Cell7,WT,67.495503,117.306553,-53.496774,49.724998,0.425,188.976
2024_02_14_Cell1,WT,56.302901,70.689388,-36.840554,54.175003,0.876,106.737
2024_02_14_Cell2,WT,54.297101,45.747351,-24.625467,25.575001,1.252,43.139
2024_02_14_Cell3,WT,59.7171,90.589382,-40.48742,52.824997,1.012,104.847
2024_02_14_Cell4,WT,56.738298,69.738604,-37.562873,67.324997,0.603,59.478
